arouse	вызывать, пробуждать	Something aroused their interest.
pretty	довольно-таки	The water of the fjord is pretty cold.
grand	большой, великий	We arrived at the Grand Canyon from Pittsburgh.
volume	громкость	The volume knob is the leftest.
draw (drew, drawn)	тянуть, влечь	I drew the curtain aside to let her see it.
coach	автобус, вагон, телега	Coach travel is back in fashion.
provide	обеспечивать, снабжать	The hens provided us with fresh eggs.
cope with	совладать, справиться	The police couldn't cope with the civil unrest.
condition	состояние	Bonhams, 1938. For sale in good condition.
land	приземляться, высаживаться	Мarines landed in Da Nang on 8 March 1965.
scope	пределы, район	It let us narrow the scope of our search.
pack	пачка, связка, колода, и т. д.	My girlfriend wants me to read this pack of books.
craft	ремесло, мастерство	This craft requires inhuman patience.
worth	стоимость, стоящий	Beyond all doubt, Alhambra is worth seeing.
urban	городской	Urban life is full of contradictions.
pond	пруд	The pond is for ducks only.
familiar	знакомый	The number seems familiar, but I'm not sure.
tap	стучать	She smiled and tapped a tune on the table.
column	столб, колонна	I'm gonna climb that column before it's dark.
guilt	вина	There was no doubt of his guilt.
arm	рука	He had a stronger arm, I had a better technique.
chamber	кабинет, зал, палата, камера	Now it hangs on the wall of the chamber.
owe	задолжать	How much do I owe you?
include	включать, содержать в себе	The set also includes an ivory syringe.
appoint	назначать, утверждать	I have a meeting appointed for this evening
celebrate	праздновать	Independence Day is celebrated on July 4th.
abuse	оскорблять, бранить, брань	Please don't abuse me. I'm doing my job.
dig (dug, dug)	копать	My father and I dug a well of 20 feet in depth.
behavior	поведение	We described the social behavior of baboons.
cable	канат, кабель, трос и т.д.	The underwater cable connects continents.
intelligent	умный	His wife is more intelligent than him.
admit	признавать, допускать	Sometimes we make mistakes, let's admit it.
cream	крем, сливки	I drank coffee with cream for many years.
appropriate	присвоить	The governor appropriated $3 million.
root	корень	His burrow was under the roots of an old tree.
compare	сравнить	Look at them attentively, compare them.
human	человек, человеческий	These were the only humans we met there.
slay (slew, slain)	умертвить	Saint George came and slew the serpent.
persist	сохраниться	This tradition persists in some areas.
wide	широкий, просторный	The widest river in the world is the Amazon River.
width	ширина	The width is not enough. The bed won't pass.
quarter	четверть	We left you a quarter of the pizza. Appreciate it.
vanish	исчезнуть	The cell phone vanished from the nightstand.
stir	шевелить(ся), двигать и т.д.	Stir the butter and sugar into a cream.
opening	отверстие	Can you put your hand through the opening?
